target_id,SRR7478650,SRR7478651,SRR7478652,SRR7478653,SRR7478654,SRR7478655,SRR7478656,SRR7478657,SRR7478658,SRR7478659,SRR7478660,SRR7478661,SRR7478663,SRR7478664,SRR7478665,SRR7478666,SRR7478667,SRR7478668,SRR7478669,SRR7478670,SRR7478671,SRR7478672,SRR7478673,SRR7478675,SRR7478676,SRR7478677,SRR7478678,SRR7478682,SRR7478683,SRR7500695,SRR7500696,SRR7500697,SRR7500698,SRR7500704,SRR7500705,SRR7500706,SRR7500708,SRR7500709,SRR7500710,SRR7500711,SRR7500712,SRR7500713,SRR7500714,SRR7500718,SRR7500720,SRR7500722,SRR7500724,SRR7500725,SRR7500726,SRR7500729
OIT96304,7.25138,8.95825,7.72059,8.16441,6.71353,10.7488,9.93961,9.70776,8.72794,10.1889,10.52,8.80828,9.705680000000001,12.3008,11.1903,9.924710000000001,5.87752,5.9361,8.64958,7.22853,7.49578,9.56788,9.61557,4.966819999999999,4.30159,0.0,0.0,6.5736300000000005,7.11845,103.37299999999999,121.20299999999999,116.64299999999999,12.4047,4.08691,6.1502300000000005,30.1871,22.5111,22.0764,17.192999999999998,24.2824,19.1809,24.5484,8.88723,32.8262,48.3042,37.691,33.4193,40.5049,38.9017,31.8004
OIT96438,6.797839999999999,6.823339999999999,7.01883,6.78402,2.44562,2.87658,2.81202,2.17477,2.8904,2.5869,3.20516,4.47274,61.0421,54.8772,48.6734,33.5452,30.1595,28.485,36.1217,67.2936,68.105,69.876,77.9792,14.5651,16.1895,0.0,0.0,12.0168,16.4087,59.053000000000004,52.0648,57.9424,16.5348,3.89115,4.2941400000000005,14.7299,14.9574,10.6009,18.0064,11.1517,15.692,15.9882,6.769239999999999,24.0129,21.8217,16.7259,18.6122,16.1085,15.6182,15.6128
OIT96305,594.987,609.8340000000001,599.82,582.682,597.251,572.315,584.9019999999999,606.442,537.923,534.2719999999999,560.7919999999999,548.6709999999999,566.2669999999999,534.297,564.975,515.161,531.025,515.929,517.239,531.345,542.279,541.376,534.143,373.837,386.974,415.69199999999995,316.716,394.194,416.189,1325.37,1333.37,1323.82,508.214,1294.06,1297.2,2107.17,2095.71,2072.95,2069.55,2051.12,2055.43,2051.66,1157.93,490.01199999999994,484.708,886.993,895.325,857.6339999999999,850.8389999999999,840.682
OIT96306,13.2186,11.9991,12.3172,14.9889,12.8721,14.128,16.9711,12.9442,16.5779,15.2416,15.6084,12.2736,9.25729,9.897789999999999,8.25292,6.646789999999999,7.26702,7.95107,6.515,11.4752,9.70918,9.7422,9.324539999999999,8.49509,9.48992,0.0,0.0,10.5273,11.1947,55.9174,46.4309,48.0729,7.668639999999999,5.79,4.5414,5.63742,7.1062899999999996,7.91173,6.20012,5.44535,5.12371,6.15834,7.46638,8.70669,10.5718,6.48369,8.293619999999999,8.7161,6.00243,7.184660000000001
OIT96307,8.60699,6.44019,7.96536,6.663360000000001,10.9734,7.66122,8.60472,7.689939999999999,6.60065,7.62268,9.68058,7.2958300000000005,3.88991,3.9439900000000003,4.13085,2.61036,3.9921800000000003,2.99768,2.84504,5.40792,2.5535799999999997,3.00007,4.1258300000000006,4.87706,6.81495,13.0662,0.0,5.79617,4.20439,129.90200000000002,122.165,124.85,1.74007,2.86646,2.87575,3.96985,4.299919999999999,4.03927,2.41175,3.20586,2.59096,2.19588,3.2604900000000003,5.47093,4.29919,3.3102,2.41957,1.81014,2.04299,1.6123399999999999
OIT96308,27.9999,25.4208,27.3913,28.0477,25.6825,21.1367,25.9481,28.3428,25.8976,23.8381,31.0912,28.3885,6.41256,4.6252,7.972389999999999,6.647239999999999,6.45553,7.36569,6.89717,7.09698,8.15347,7.14231,5.1043,8.6842,7.70661,0.0,0.0,9.00421,10.6712,133.005,143.86,145.878,8.745519999999999,11.3813,7.22669,5.85267,7.5639199999999995,6.49638,11.3132,12.6886,12.2207,10.2337,10.7962,5.31602,4.3215,2.7728200000000003,3.64819,3.23473,3.13444,3.3494599999999997
OIT96309,16.3688,16.1314,16.6102,18.2166,15.2625,17.9801,16.2129,16.6052,16.4,17.1143,16.8389,17.0083,4.73461,5.46925,6.28484,5.95726,6.10687,5.85935,5.09241,7.28505,7.7131,7.507289999999999,7.24292,12.1903,8.370439999999999,12.4247,0.0,13.4282,13.0933,68.9434,66.1879,75.08800000000001,23.1649,2.862,2.4611,1.50997,2.29995,2.0485,1.72,2.47687,2.46374,2.27788,3.46516,5.54913,5.687790000000001,2.9728,4.60153,2.48627,2.7606599999999997,2.14644
OIT96310,10.7218,10.0087,11.585,10.6525,12.6801,12.5083,11.7909,12.1839,11.5248,13.2016,12.6181,11.9323,9.48789,11.2591,10.0756,8.70387,8.68131,9.01405,9.97558,9.77758,10.1886,11.251,9.784989999999999,11.4565,10.1166,4.47611,0.0,11.0471,11.0903,152.33700000000002,161.439,148.53799999999998,14.3064,6.38278,6.60049,1.9946,2.76193,2.95197,2.89168,2.19647,3.14069,3.00897,8.9356,10.2455,9.861189999999999,12.2217,12.1568,10.335,11.1243,11.415
OIT96311,662.74,682.548,679.003,648.318,711.435,693.4630000000001,697.0060000000001,717.015,700.808,702.085,707.923,725.321,383.486,391.153,384.73699999999997,314.014,308.319,328.23900000000003,317.835,362.564,357.65,364.853,355.04400000000004,271.23900000000003,276.996,280.45,224.727,354.658,348.365,514.258,498.085,492.69599999999997,519.014,611.43,595.4259999999999,480.49300000000005,484.733,512.812,521.964,519.038,523.663,513.424,571.356,465.926,474.24800000000005,521.979,518.284,532.62,513.947,509.157
OIT96312,841.0210000000001,826.4,855.807,834.68,868.8610000000001,897.227,877.091,907.803,801.232,813.23,807.1339999999999,811.2860000000001,305.105,314.465,325.39799999999997,252.476,268.825,271.711,273.045,331.605,320.92900000000003,317.62,340.108,365.022,354.176,319.99,0.0,370.57599999999996,371.916,719.422,676.873,653.025,584.841,815.52,822.049,1070.55,1066.66,1093.82,982.691,990.5239999999999,994.7,994.6139999999999,755.0830000000001,452.767,448.611,330.166,351.44199999999995,349.545,337.24300000000005,328.23199999999997
